CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,FEED_INTAKE,FEED_INTAKE,FEED_INTAKE,FEED_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE
Datetime,Day,Average Temperature compartment (C),Temperature 1 (C),Temperature 2 (c),RV compartment,CO2 compartment,Air speed  (m³/u),Valve 1 upper (%],Valve 2 extra under (%),Datetime,Day,Total feed intake pen 1,Total feed intake pen 2,Datetime,Day,total water intake pen 1,total water intake pen 2,ml/animal day pen 1,ml/animal day pen 2
2020-05-22 00:00:15,1,33.7,33.9,33.5,45,501,125,2,5,2020-05-22 00:49:29,1.0,69.0,69.0,2020-05-22 13:52:03,1.0,3.0,0.0,0.003,0.0
2020-05-22 00:05:14,1,33.7,33.9,33.4,45,498,125,2,5,2020-05-22 01:49:28,1.0,69.0,69.0,2020-05-22 14:52:04,1.0,3.0,0.0,0.003,0.0
2020-05-22 00:10:15,1,33.8,33.9,33.5,46,512,125,2,5,2020-05-22 02:49:29,1.0,69.0,69.0,2020-05-22 15:52:04,1.0,7.0,5.0,0.006,0.004
2020-05-22 00:15:14,1,33.7,34.0,33.5,44,511,125,2,5,2020-05-22 03:49:28,1.0,69.0,69.0,2020-05-22 16:52:04,1.0,7.0,5.0,0.006,0.004
2020-05-22 00:20:15,1,33.8,34.0,33.5,44,503,125,2,5,2020-05-22 04:49:29,1.0,69.0,69.0,2020-05-22 17:52:04,1.0,7.0,5.0,0.006,0.004
2020-05-22 00:25:15,1,33.8,34.1,33.5,44,506,125,2,5,2020-05-22 05:49:28,1.0,69.0,69.0,2020-05-22 18:52:04,1.0,10.0,5.0,0.008,0.004
2020-05-22 00:30:15,1,33.7,34.0,33.4,45,511,125,2,5,2020-05-22 06:49:28,1.0,69.0,69.0,2020-05-22 19:52:03,1.0,11.0,11.0,0.009,0.009
2020-05-22 00:35:15,1,33.7,34.0,33.4,44,511,125,2,5,2020-05-22 07:49:29,1.0,69.0,69.0,2020-05-22 20:52:13,1.0,11.0,11.0,0.009,0.009
2020-05-22 00:40:15,1,33.7,34.0,33.5,44,527,125,2,5,2020-05-22 08:49:28,1.0,69.0,69.0,2020-05-22 21:52:06,1.0,11.0,11.0,0.009,0.009
2020-05-22 00:45:13,1,33.8,34.0,33.5,45,524,125,2,5,2020-05-22 09:49:28,1.0,69.0,69.0,2020-05-22 22:52:03,1.0,14.0,11.0,0.012,0.009
2020-05-22 00:50:15,1,33.8,34.1,33.5,44,527,125,2,5,2020-05-22 10:49:28,1.0,69.0,69.0,2020-05-22 23:52:03,1.0,14.0,11.0,0.012,0.009
2020-05-22 00:55:14,1,33.9,34.0,33.6,45,531,125,2,5,2020-05-22 11:49:27,1.0,69.0,69.0,2020-05-23 00:52:02,2.0,14.0,11.0,0.012,0.009
2020-05-22 01:00:15,1,33.9,34.1,33.7,45,525,125,2,5,2020-05-22 12:49:31,1.0,69.0,69.0,2020-05-23 01:52:06,2.0,14.0,16.0,0.012,0.014
2020-05-22 01:05:15,1,33.9,34.0,33.6,46,532,125,2,5,2020-05-22 13:49:28,1.0,69.0,69.0,2020-05-23 02:52:03,2.0,17.0,16.0,0.015,0.014
2020-05-22 01:10:15,1,33.8,33.9,33.4,46,544,125,2,5,2020-05-22 14:49:29,1.0,69.0,69.0,2020-05-23 03:52:06,2.0,17.0,16.0,0.015,0.014
2020-05-22 01:15:15,1,33.7,34.0,33.3,45,541,125,2,5,2020-05-22 15:49:31,1.0,69.0,69.0,2020-05-23 04:52:04,2.0,17.0,16.0,0.015,0.014
2020-05-22 01:20:15,1,33.4,33.8,33.0,45,541,125,2,5,2020-05-22 16:49:28,1.0,69.0,69.0,2020-05-23 05:52:07,2.0,21.0,16.0,0.018,0.014
2020-05-22 01:25:14,1,33.6,33.8,33.4,44,545,125,2,5,2020-05-22 17:49:27,1.0,69.0,69.0,2020-05-23 06:52:04,2.0,21.0,21.0,0.018,0.018
2020-05-22 01:30:15,1,33.6,33.9,33.4,44,544,125,2,5,2020-05-22 18:49:28,1.0,69.0,69.0,2020-05-23 07:52:04,2.0,21.0,21.0,0.018,0.018
2020-05-22 01:35:15,1,33.7,33.9,33.5,45,553,125,2,5,2020-05-22 19:49:29,1.0,69.0,69.0,2020-05-23 08:52:04,2.0,24.0,21.0,0.003,0.0
2020-05-22 01:40:14,1,33.8,34.0,33.6,45,553,125,2,5,2020-05-22 20:49:28,1.0,69.0,69.0,2020-05-23 09:52:04,2.0,24.0,21.0,0.003,0.0
